chemin, class, classe_LOC, classe_CLOC, classe_DC, WMC, classe_BC
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,AbstractAnnotation,154,97,0.6298701298701299,14,0.044990723562152134
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractXYAnnotation.java,AbstractXYAnnotation,143,74,0.5174825174825175,16,0.032342657342657344
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\Annotation.java,Annotation,21,17,0.8095238095238095,2,0.40476190476190477
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\CategoryAnnotation.java,CategoryAnnotation,19,15,0.7894736842105263,1,0.7894736842105263
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\CategoryLineAnnotation.java,CategoryLineAnnotation,324,155,0.4783950617283951,28,0.01708553791887125
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation,420,210,0.5,34,0.014705882352941176
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\CategoryTextAnnotation.java,CategoryTextAnnotation,195,88,0.4512820512820513,18,0.02507122507122507
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\TextAnnotation.java,TextAnnotation,263,141,0.5361216730038023,24,0.022338403041825095
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYAnnotation.java,XYAnnotation,23,18,0.782608695652174,1,0.782608695652174
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYAnnotationBoundsInfo.java,XYAnnotationBoundsInfo,29,24,0.8275862068965517,3,0.27586206896551724
