chemin, class, methode1, methode_LOC, methode_CLOC, methode_DC, CC, methode_BC
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,org.jfree.chart.annotations.AbstractAnnotation,addChangeListener_AnnotationChangeListener,12,8,0.6666666666666666,1,0.6666666666666666
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,org.jfree.chart.annotations.AbstractAnnotation,removeChangeListener_AnnotationChangeListener,12,8,0.6666666666666666,1,0.6666666666666666
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,org.jfree.chart.annotations.AbstractAnnotation,hasListener_EventListener,16,12,0.75,1,0.75
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,org.jfree.chart.annotations.AbstractAnnotation,fireAnnotationChanged,10,5,0.5,2,0.25
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,org.jfree.chart.annotations.AbstractAnnotation,notifyListeners_AnnotationChangeEvent,18,9,0.5,3,0.16666666666666666
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,org.jfree.chart.annotations.AbstractAnnotation,getNotify,11,8,0.7272727272727273,1,0.7272727272727273
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,org.jfree.chart.annotations.AbstractAnnotation,setNotify_boolean,14,8,0.5714285714285714,2,0.2857142857142857
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,org.jfree.chart.annotations.AbstractAnnotation,clone,16,10,0.625,1,0.625
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,org.jfree.chart.annotations.AbstractAnnotation,writeObject_ObjectOutputStream,10,7,0.7,1,0.7
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,org.jfree.chart.annotations.AbstractAnnotation,readObject_ObjectInputStream,13,8,0.6153846153846154,1,0.6153846153846154
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractXYAnnotation.java,org.jfree.chart.annotations.AbstractXYAnnotation,getToolTipText,12,9,0.75,1,0.75
